"date_utc","date_time_utc","usds_price"
2021-07-13,"2021-07-13 13:50:03",0.35022206106984
2021-07-13,"2021-07-13 14:00:04",0.35022206106984
2021-07-13,"2021-07-13 14:10:03",0.35022206106984
2021-07-13,"2021-07-13 14:20:03",0.35022206106984
2021-07-13,"2021-07-13 14:30:03",0.35022206106984
2021-07-13,"2021-07-13 14:40:03",0.350508880622318
2021-07-13,"2021-07-13 14:50:03",0.350508880622318
2021-07-13,"2021-07-13 15:00:04",0.350508880622318
2021-07-13,"2021-07-13 15:10:03",0.350508880622318
2021-07-13,"2021-07-13 15:20:03",0.350508880622318
2021-07-13,"2021-07-13 15:30:03",0.350508880622318
2021-07-13,"2021-07-13 15:40:03",0.350508880622318
2021-07-13,"2021-07-13 15:50:03",0.350508880622318
2021-07-13,"2021-07-13 16:00:04",0.350508880622318
2021-07-13,"2021-07-13 16:10:02",0.350508880622318
2021-07-13,"2021-07-13 16:20:03",0.350508880622318
2021-07-13,"2021-07-13 16:30:03",0.350508880622318
2021-07-13,"2021-07-13 16:40:03",0.350508880622318
2021-07-13,"2021-07-13 16:50:02",0.350508880622318
2021-07-13,"2021-07-13 17:00:04",0.350508880622318
2021-07-13,"2021-07-13 17:10:02",0.350508880622318
2021-07-13,"2021-07-13 17:20:03",0.350508880622318
2021-07-13,"2021-07-13 17:30:03",0.350508880622318
2021-07-13,"2021-07-13 17:40:03",0.350508880622318
2021-07-13,"2021-07-13 17:50:03",0.350508880622318
2021-07-13,"2021-07-13 18:00:03",0.350508880622318
2021-07-13,"2021-07-13 18:10:03",0.351525085043776
2021-07-13,"2021-07-13 18:20:03",0.351525085043776
2021-07-13,"2021-07-13 18:30:03",0.351525085043776
2021-07-13,"2021-07-13 18:40:03",0.351525085043776
2021-07-13,"2021-07-13 18:50:03",0.351525085043776
2021-07-13,"2021-07-13 19:00:03",0.351525085043776
2021-07-13,"2021-07-13 19:10:03",0.351525085043776
2021-07-13,"2021-07-13 19:20:03",0.351525085043776
2021-07-13,"2021-07-13 19:30:03",0.351525085043776
2021-07-13,"2021-07-13 19:40:03",0.351525085043776
2021-07-13,"2021-07-13 19:50:03",0.351525085043776
2021-07-13,"2021-07-13 20:00:03",0.35204299968043
2021-07-13,"2021-07-13 20:10:03",0.357032722490567
2021-07-13,"2021-07-13 20:20:03",0.355470610871777
2021-07-13,"2021-07-13 20:30:03",0.355470610871777
2021-07-13,"2021-07-13 20:40:03",0.355470610871777
2021-07-13,"2021-07-13 20:50:03",0.355470610871777
2021-07-13,"2021-07-13 21:00:04",0.355470610871777
2021-07-13,"2021-07-13 21:10:02",0.355470610871777
2021-07-13,"2021-07-13 21:20:03",0.355470610871777
2021-07-13,"2021-07-13 21:30:03",0.355470610871777
2021-07-13,"2021-07-13 21:40:03",0.348139241784939
2021-07-13,"2021-07-13 21:50:02",0.348139241784939
2021-07-13,"2021-07-13 22:00:04",0.348139241784939
2021-07-13,"2021-07-13 22:10:02",0.348139241784939
2021-07-13,"2021-07-13 22:20:03",0.348139241784939
2021-07-13,"2021-07-13 22:30:03",0.348139241784939
2021-07-13,"2021-07-13 22:40:03",0.348139241784939
2021-07-13,"2021-07-13 22:50:03",0.348139241784939
2021-07-13,"2021-07-13 23:00:03",0.348139241784939
2021-07-13,"2021-07-13 23:10:02",0.348139241784939
2021-07-13,"2021-07-13 23:20:02",0.348139241784939
2021-07-13,"2021-07-13 23:30:03",0.348139241784939
2021-07-13,"2021-07-13 23:40:03",0.348139241784939
2021-07-13,"2021-07-13 23:50:03",0.348139241784939
2021-07-14,"2021-07-14 00:00:05",0.348139241784939
2021-07-14,"2021-07-14 00:10:03",0.348139241784939
2021-07-14,"2021-07-14 00:20:03",0.348139241784939
2021-07-14,"2021-07-14 00:30:03",0.348139241784939
2021-07-14,"2021-07-14 00:40:03",0.348139241784939
2021-07-14,"2021-07-14 00:50:03",0.348139241784939
2021-07-14,"2021-07-14 01:00:03",0.348139241784939
2021-07-14,"2021-07-14 01:10:03",0.348139241784939
2021-07-14,"2021-07-14 01:20:03",0.348139241784939
2021-07-14,"2021-07-14 01:30:02",0.348139241784939
2021-07-14,"2021-07-14 01:40:03",0.348139241784939
2021-07-14,"2021-07-14 01:50:03",0.348139241784939
2021-07-14,"2021-07-14 02:00:04",0.348139241784939
2021-07-14,"2021-07-14 02:10:03",0.348139241784939
2021-07-14,"2021-07-14 02:20:03",0.348139241784939
2021-07-14,"2021-07-14 02:30:03",0.348139241784939
2021-07-14,"2021-07-14 02:40:03",0.348139241784939
2021-07-14,"2021-07-14 02:50:03",0.348139241784939
2021-07-14,"2021-07-14 03:00:04",0.348139241784939
2021-07-14,"2021-07-14 03:10:03",0.348139241784939
2021-07-14,"2021-07-14 03:20:03",0.348139241784939
2021-07-14,"2021-07-14 03:30:03",0.348139241784939
2021-07-14,"2021-07-14 03:40:03",0.348139241784939
2021-07-14,"2021-07-14 03:50:03",0.348139241784939
2021-07-14,"2021-07-14 04:00:03",0.348139241784939
2021-07-14,"2021-07-14 04:10:03",0.348139241784939
2021-07-14,"2021-07-14 04:20:03",0.383396309135447
2021-07-14,"2021-07-14 04:30:03",0.383396309135447
2021-07-14,"2021-07-14 04:40:03",0.383396309135447
2021-07-14,"2021-07-14 04:50:03",0.383396309135447
2021-07-14,"2021-07-14 05:00:04",0.383396309135447
2021-07-14,"2021-07-14 05:10:03",0.383396309135447
2021-07-14,"2021-07-14 05:20:03",0.383396309135447
2021-07-14,"2021-07-14 05:30:03",0.383396309135447
2021-07-14,"2021-07-14 05:40:03",0.383396309135447
2021-07-14,"2021-07-14 05:50:03",0.383396309135447
2021-07-14,"2021-07-14 06:00:03",0.383396309135447
2021-07-14,"2021-07-14 06:10:02",0.383396309135447
2021-07-14,"2021-07-14 06:20:03",0.383396309135447
2021-07-14,"2021-07-14 06:30:03",0.383396309135447
2021-07-14,"2021-07-14 06:40:03",0.383396309135447
2021-07-14,"2021-07-14 06:50:03",0.383396309135447
2021-07-14,"2021-07-14 07:00:03",0.383396309135447
2021-07-14,"2021-07-14 07:10:03",0.383396309135447
2021-07-14,"2021-07-14 07:20:03",0.383396309135447
2021-07-14,"2021-07-14 07:30:03",0.383396309135447
2021-07-14,"2021-07-14 07:40:03",0.383396309135447
2021-07-14,"2021-07-14 07:50:02",0.383396309135447
2021-07-14,"2021-07-14 08:00:04",0.383396309135447
2021-07-14,"2021-07-14 08:10:02",0.383396309135447
2021-07-14,"2021-07-14 08:20:03",0.383396309135447
2021-07-14,"2021-07-14 08:30:03",0.383396309135447
2021-07-14,"2021-07-14 08:40:03",0.383396309135447
2021-07-14,"2021-07-14 08:50:03",0.383396309135447
2021-07-14,"2021-07-14 09:00:04",0.383396309135447
2021-07-14,"2021-07-14 09:10:03",0.383396309135447
2021-07-14,"2021-07-14 09:20:03",0.383396309135447
2021-07-14,"2021-07-14 09:30:03",0.383396309135447
2021-07-14,"2021-07-14 09:40:03",0.383396309135447
2021-07-14,"2021-07-14 09:50:03",0.383396309135447
2021-07-14,"2021-07-14 10:00:04",0.383396309135447
2021-07-14,"2021-07-14 10:10:03",0.377862914391059
2021-07-14,"2021-07-14 10:20:02",0.377862914391059
2021-07-14,"2021-07-14 10:30:03",0.377862914391059
2021-07-14,"2021-07-14 10:40:03",0.377862914391059
2021-07-14,"2021-07-14 10:50:03",0.377862914391059
2021-07-14,"2021-07-14 11:00:04",0.377862914391059
2021-07-14,"2021-07-14 11:10:03",0.377862914391059
2021-07-14,"2021-07-14 11:20:10",0.377862914391059
2021-07-14,"2021-07-14 11:30:03",0.377862914391059
2021-07-14,"2021-07-14 11:40:03",0.377862914391059
2021-07-14,"2021-07-14 11:50:03",0.377862914391059
2021-07-14,"2021-07-14 12:00:04",0.377862914391059
2021-07-14,"2021-07-14 12:10:03",0.377862914391059
2021-07-14,"2021-07-14 12:20:03",0.377862914391059
2021-07-14,"2021-07-14 12:30:03",0.377862914391059
2021-07-14,"2021-07-14 12:40:03",0.377862914391059
2021-07-14,"2021-07-14 12:50:03",0.377862914391059
2021-07-14,"2021-07-14 13:00:03",0.377862914391059
2021-07-14,"2021-07-14 13:10:03",0.377862914391059
2021-07-14,"2021-07-14 13:20:03",0.377862914391059
2021-07-14,"2021-07-14 13:30:03",0.377862914391059
2021-07-14,"2021-07-14 13:40:03",0.377862914391059
2021-07-14,"2021-07-14 13:50:03",0.377862914391059
2021-07-14,"2021-07-14 14:00:04",0.377862914391059
2021-07-14,"2021-07-14 14:10:03",0.376752399216775
2021-07-14,"2021-07-14 14:20:02",0.376752399216775
2021-07-14,"2021-07-14 14:30:03",0.376752399216775
2021-07-14,"2021-07-14 14:40:03",0.376752399216775
2021-07-14,"2021-07-14 14:50:02",0.376752399216775
2021-07-14,"2021-07-14 15:00:04",0.376752399216775
2021-07-14,"2021-07-14 15:10:02",0.376752399216775
2021-07-14,"2021-07-14 15:20:03",0.376752399216775
2021-07-14,"2021-07-14 15:30:03",0.376752399216775
2021-07-14,"2021-07-14 15:40:03",0.376752399216775
2021-07-14,"2021-07-14 15:50:03",0.376752399216775
2021-07-14,"2021-07-14 16:00:04",0.376752399216775
2021-07-14,"2021-07-14 16:10:03",0.376752399216775
2021-07-14,"2021-07-14 16:20:03",0.376752399216775
2021-07-14,"2021-07-14 16:30:02",0.376752399216775
2021-07-14,"2021-07-14 16:40:03",0.376752399216775
2021-07-14,"2021-07-14 16:50:04",0.376752399216775
2021-07-14,"2021-07-14 17:00:04",0.376752399216775
2021-07-14,"2021-07-14 17:10:03",0.376752399216775
2021-07-14,"2021-07-14 17:20:03",0.376752399216775
2021-07-14,"2021-07-14 17:30:03",0.376752399216775
2021-07-14,"2021-07-14 17:40:03",0.376752399216775
2021-07-14,"2021-07-14 17:50:03",0.376752399216775
2021-07-14,"2021-07-14 18:00:04",0.376752399216775
2021-07-14,"2021-07-14 18:10:03",0.376752399216775
2021-07-14,"2021-07-14 18:20:03",0.376752399216775
2021-07-14,"2021-07-14 18:30:03",0.376752399216775
2021-07-14,"2021-07-14 18:40:03",0.376752399216775
2021-07-14,"2021-07-14 18:50:02",0.376752399216775
2021-07-14,"2021-07-14 19:00:04",0.376752399216775
2021-07-14,"2021-07-14 19:10:02",0.376752399216775
2021-07-14,"2021-07-14 19:20:03",0.376752399216775
2021-07-14,"2021-07-14 19:30:03",0.376752399216775
2021-07-14,"2021-07-14 19:40:03",0.376752399216775
2021-07-14,"2021-07-14 19:50:02",0.376752399216775
2021-07-14,"2021-07-14 20:00:04",0.376752399216775
2021-07-14,"2021-07-14 20:10:03",0.379373292311827
2021-07-14,"2021-07-14 20:20:03",0.379373292311827
2021-07-14,"2021-07-14 20:30:03",0.379373292311827
2021-07-14,"2021-07-14 20:40:03",0.379373292311827
2021-07-14,"2021-07-14 20:50:03",0.379373292311827
2021-07-14,"2021-07-14 21:00:03",0.379373292311827
2021-07-14,"2021-07-14 21:10:03",0.379373292311827
2021-07-14,"2021-07-14 21:20:03",0.368581543673196
2021-07-14,"2021-07-14 21:30:03",0.368581543673196
2021-07-14,"2021-07-14 21:40:03",0.368581543673196
2021-07-14,"2021-07-14 21:50:03",0.368581543673196
2021-07-14,"2021-07-14 22:00:04",0.368581543673196
2021-07-14,"2021-07-14 22:10:03",0.368581543673196
2021-07-14,"2021-07-14 22:20:03",0.372224077746562
2021-07-14,"2021-07-14 22:30:03",0.372224077746562
2021-07-14,"2021-07-14 22:40:03",0.372224077746562
2021-07-14,"2021-07-14 22:50:02",0.372224077746562
2021-07-14,"2021-07-14 23:00:04",0.36546877219289
2021-07-14,"2021-07-14 23:10:03",0.36546877219289
2021-07-14,"2021-07-14 23:20:03",0.364171589342977
2021-07-14,"2021-07-14 23:30:03",0.364171589342977
2021-07-14,"2021-07-14 23:40:03",0.364707003264177
2021-07-14,"2021-07-14 23:50:03",0.364707003264177
2021-07-15,"2021-07-15 00:00:04",0.364707003264177
2021-07-15,"2021-07-15 00:10:03",0.364707003264177
2021-07-15,"2021-07-15 00:20:03",0.364707003264177
2021-07-15,"2021-07-15 00:30:03",0.364707003264177
2021-07-15,"2021-07-15 00:40:03",0.364707003264177
2021-07-15,"2021-07-15 00:50:03",0.364707003264177
2021-07-15,"2021-07-15 01:00:04",0.364707003264177
2021-07-15,"2021-07-15 01:10:03",0.364707003264177
2021-07-15,"2021-07-15 01:20:03",0.364707003264177
2021-07-15,"2021-07-15 01:30:03",0.364707003264177
2021-07-15,"2021-07-15 01:40:03",0.364707003264177
2021-07-15,"2021-07-15 01:50:03",0.364707003264177
2021-07-15,"2021-07-15 02:00:04",0.364707003264177
2021-07-15,"2021-07-15 02:10:03",0.364707003264177
2021-07-15,"2021-07-15 02:20:02",0.364707003264177
2021-07-15,"2021-07-15 02:30:03",0.364707003264177
2021-07-15,"2021-07-15 02:40:03",0.364707003264177
2021-07-15,"2021-07-15 02:50:02",0.364707003264177
2021-07-15,"2021-07-15 03:00:04",0.364707003264177
2021-07-15,"2021-07-15 03:10:03",0.364707003264177
2021-07-15,"2021-07-15 03:20:03",0.364707003264177
2021-07-15,"2021-07-15 03:30:03",0.364707003264177
2021-07-15,"2021-07-15 03:40:03",0.364707003264177
2021-07-15,"2021-07-15 03:50:03",0.364707003264177
2021-07-15,"2021-07-15 04:00:03",0.364707003264177
2021-07-15,"2021-07-15 04:10:03",0.364707003264177
2021-07-15,"2021-07-15 04:20:03",0.364707003264177
2021-07-15,"2021-07-15 04:30:03",0.364707003264177
2021-07-15,"2021-07-15 04:40:02",0.367412006189785
2021-07-15,"2021-07-15 04:50:03",0.367412006189785
2021-07-15,"2021-07-15 05:00:04",0.367412006189785
2021-07-15,"2021-07-15 05:10:03",0.367412006189785
2021-07-15,"2021-07-15 05:20:03",0.367412006189785
2021-07-15,"2021-07-15 05:30:03",0.367412006189785
2021-07-15,"2021-07-15 05:40:03",0.367412006189785
2021-07-15,"2021-07-15 05:50:03",0.367412006189785
2021-07-15,"2021-07-15 06:00:03",0.367412006189785
2021-07-15,"2021-07-15 06:10:03",0.367412006189785
2021-07-15,"2021-07-15 06:20:03",0.367412006189785
2021-07-15,"2021-07-15 06:30:03",0.367412006189785
2021-07-15,"2021-07-15 06:40:03",0.367412006189785
2021-07-15,"2021-07-15 06:50:02",0.367412006189785
2021-07-15,"2021-07-15 07:00:04",0.367412006189785
2021-07-15,"2021-07-15 07:10:03",0.367412006189785
2021-07-15,"2021-07-15 07:20:03",0.367412006189785
2021-07-15,"2021-07-15 07:30:03",0.367412006189785
2021-07-15,"2021-07-15 07:40:03",0.367412006189785
2021-07-15,"2021-07-15 07:50:03",0.367412006189785
2021-07-15,"2021-07-15 08:00:03",0.367412006189785
2021-07-15,"2021-07-15 08:10:03",0.367412006189785
2021-07-15,"2021-07-15 08:20:03",0.367412006189785
2021-07-15,"2021-07-15 08:30:03",0.367412006189785
2021-07-15,"2021-07-15 08:40:03",0.367412006189785
2021-07-15,"2021-07-15 08:50:02",0.367412006189785
2021-07-15,"2021-07-15 09:00:04",0.367412006189785
2021-07-15,"2021-07-15 09:10:03",0.367412006189785
2021-07-15,"2021-07-15 09:20:03",0.367412006189785
2021-07-15,"2021-07-15 09:30:03",0.367412006189785
2021-07-15,"2021-07-15 09:40:03",0.367412006189785
2021-07-15,"2021-07-15 09:50:03",0.367412006189785
2021-07-15,"2021-07-15 10:00:04",0.367412006189785
2021-07-15,"2021-07-15 10:10:03",0.367412006189785
2021-07-15,"2021-07-15 10:20:03",0.367412006189785
2021-07-15,"2021-07-15 10:30:03",0.367412006189785
2021-07-15,"2021-07-15 10:40:03",0.367412006189785
2021-07-15,"2021-07-15 10:50:03",0.367412006189785
2021-07-15,"2021-07-15 11:00:03",0.367412006189785
2021-07-15,"2021-07-15 11:10:03",0.367412006189785
2021-07-15,"2021-07-15 11:20:03",0.367412006189785
2021-07-15,"2021-07-15 11:30:03",0.367412006189785
2021-07-15,"2021-07-15 11:40:03",0.367412006189785
2021-07-15,"2021-07-15 11:50:03",0.367412006189785
2021-07-15,"2021-07-15 12:00:03",0.377255502082523
2021-07-15,"2021-07-15 12:10:02",0.377255502082523
2021-07-15,"2021-07-15 12:20:03",0.377255502082523
2021-07-15,"2021-07-15 12:30:03",0.377255502082523
2021-07-15,"2021-07-15 12:40:02",0.386439608366928
2021-07-15,"2021-07-15 12:50:02",0.386439608366928
2021-07-15,"2021-07-15 13:00:03",0.386439608366928
2021-07-15,"2021-07-15 13:10:03",0.386439608366928
2021-07-15,"2021-07-15 13:20:03",0.386439608366928
2021-07-15,"2021-07-15 13:30:03",0.386439608366928
2021-07-15,"2021-07-15 13:40:03",0.386439608366928
2021-07-15,"2021-07-15 13:50:03",0.383622368949915
2021-07-15,"2021-07-15 14:00:03",0.383622368949915
2021-07-15,"2021-07-15 14:10:03",0.383622368949915
2021-07-15,"2021-07-15 14:20:03",0.376268167785901
2021-07-15,"2021-07-15 14:30:03",0.376268167785901
2021-07-15,"2021-07-15 14:40:03",0.376268167785901
2021-07-15,"2021-07-15 14:50:03",0.376268167785901
2021-07-15,"2021-07-15 15:00:04",0.376268167785901
2021-07-15,"2021-07-15 15:10:02",0.376268167785901
2021-07-15,"2021-07-15 15:20:02",0.376268167785901
2021-07-15,"2021-07-15 15:30:03",0.376268167785901
2021-07-15,"2021-07-15 15:40:03",0.376268167785901
2021-07-15,"2021-07-15 15:50:03",0.376268167785901
2021-07-15,"2021-07-15 16:00:04",0.376268167785901
2021-07-15,"2021-07-15 16:10:03",0.376268167785901
2021-07-15,"2021-07-15 16:20:03",0.376268167785901
2021-07-15,"2021-07-15 16:30:03",0.376268167785901
2021-07-15,"2021-07-15 16:40:03",0.376268167785901
2021-07-15,"2021-07-15 16:50:03",0.376268167785901
2021-07-15,"2021-07-15 17:00:03",0.376268167785901
2021-07-15,"2021-07-15 17:10:03",0.375279785491654
2021-07-15,"2021-07-15 17:20:03",0.375279785491654
2021-07-15,"2021-07-15 17:30:03",0.375279785491654
2021-07-15,"2021-07-15 17:40:03",0.375279785491654
2021-07-15,"2021-07-15 17:50:03",0.375279785491654
2021-07-15,"2021-07-15 18:00:03",0.375279785491654
2021-07-15,"2021-07-15 18:10:03",0.375279785491654
2021-07-15,"2021-07-15 18:20:03",0.375279785491654
2021-07-15,"2021-07-15 18:30:02",0.375279785491654
2021-07-15,"2021-07-15 18:40:03",0.375279785491654
2021-07-15,"2021-07-15 18:50:03",0.375279785491654
2021-07-15,"2021-07-15 19:00:04",0.375279785491654
2021-07-15,"2021-07-15 19:10:03",0.375279785491654
2021-07-15,"2021-07-15 19:20:03",0.375279785491654
2021-07-15,"2021-07-15 19:30:03",0.375279785491654
2021-07-15,"2021-07-15 19:40:03",0.375279785491654
2021-07-15,"2021-07-15 19:50:03",0.375279785491654
2021-07-15,"2021-07-15 20:00:03",0.375279785491654
2021-07-15,"2021-07-15 20:10:03",0.375279785491654
2021-07-15,"2021-07-15 20:20:03",0.375279785491654
2021-07-15,"2021-07-15 20:30:03",0.375279785491654
2021-07-15,"2021-07-15 20:40:03",0.375279785491654
2021-07-15,"2021-07-15 20:50:03",0.375279785491654
2021-07-15,"2021-07-15 21:00:03",0.375279785491654
2021-07-15,"2021-07-15 21:10:03",0.375279785491654
2021-07-15,"2021-07-15 21:20:03",0.375279785491654
2021-07-15,"2021-07-15 21:30:03",0.375279785491654
2021-07-15,"2021-07-15 21:40:03",0.375279785491654
2021-07-15,"2021-07-15 21:50:02",0.375279785491654
2021-07-15,"2021-07-15 22:00:03",0.375279785491654
2021-07-15,"2021-07-15 22:10:03",0.375279785491654
2021-07-15,"2021-07-15 22:20:03",0.378908565146384
2021-07-15,"2021-07-15 22:30:03",0.378908565146384
2021-07-15,"2021-07-15 22:40:02",0.378908565146384
2021-07-15,"2021-07-15 22:50:03",0.378908565146384
2021-07-15,"2021-07-15 23:00:03",0.378908565146384
2021-07-15,"2021-07-15 23:10:03",0.378908565146384
2021-07-15,"2021-07-15 23:20:03",0.372125383760352
2021-07-15,"2021-07-15 23:30:03",0.372125383760352
2021-07-15,"2021-07-15 23:40:03",0.372125383760352
2021-07-15,"2021-07-15 23:50:03",0.372125383760352
2021-07-16,"2021-07-16 00:00:04",0.372125383760352
2021-07-16,"2021-07-16 00:10:03",0.372125383760352
2021-07-16,"2021-07-16 00:20:03",0.372125383760352
2021-07-16,"2021-07-16 00:30:03",0.372125383760352
2021-07-16,"2021-07-16 00:40:03",0.372125383760352
2021-07-16,"2021-07-16 00:50:03",0.372125383760352
2021-07-16,"2021-07-16 01:00:04",0.372125383760352
2021-07-16,"2021-07-16 01:10:03",0.372125383760352
2021-07-16,"2021-07-16 01:20:03",0.372125383760352
2021-07-16,"2021-07-16 01:30:03",0.372125383760352
2021-07-16,"2021-07-16 01:40:03",0.372125383760352
2021-07-16,"2021-07-16 01:50:02",0.372125383760352
2021-07-16,"2021-07-16 02:00:04",0.372125383760352
2021-07-16,"2021-07-16 02:10:03",0.372125383760352
2021-07-16,"2021-07-16 02:20:03",0.372125383760352
2021-07-16,"2021-07-16 02:30:03",0.372125383760352
2021-07-16,"2021-07-16 02:40:03",0.372125383760352
2021-07-16,"2021-07-16 02:50:02",0.372125383760352
2021-07-16,"2021-07-16 03:00:04",0.372125383760352
2021-07-16,"2021-07-16 03:10:03",0.372125383760352
2021-07-16,"2021-07-16 03:20:02",0.372125383760352
2021-07-16,"2021-07-16 03:30:03",0.372125383760352
2021-07-16,"2021-07-16 03:40:02",0.372125383760352
2021-07-16,"2021-07-16 03:50:03",0.372125383760352
2021-07-16,"2021-07-16 04:00:04",0.372125383760352
2021-07-16,"2021-07-16 04:10:03",0.372125383760352
2021-07-16,"2021-07-16 04:20:03",0.372125383760352
2021-07-16,"2021-07-16 04:30:03",0.372125383760352
2021-07-16,"2021-07-16 04:40:02",0.372125383760352
2021-07-16,"2021-07-16 04:50:03",0.372125383760352
2021-07-16,"2021-07-16 05:00:03",0.372125383760352
2021-07-16,"2021-07-16 05:10:03",0.372125383760352
2021-07-16,"2021-07-16 05:20:03",0.372125383760352
2021-07-16,"2021-07-16 05:30:03",0.372125383760352
2021-07-16,"2021-07-16 05:40:02",0.372125383760352
2021-07-16,"2021-07-16 05:50:03",0.366867809040845
2021-07-16,"2021-07-16 06:00:04",0.366867809040845
2021-07-16,"2021-07-16 06:10:03",0.366867809040845
2021-07-16,"2021-07-16 06:20:03",0.366867809040845
2021-07-16,"2021-07-16 06:30:03",0.366867809040845
2021-07-16,"2021-07-16 06:40:03",0.366867809040845
2021-07-16,"2021-07-16 06:50:03",0.366867809040845
2021-07-16,"2021-07-16 07:00:03",0.366867809040845
2021-07-16,"2021-07-16 07:10:03",0.374184985292222
2021-07-16,"2021-07-16 07:20:02",0.374184985292222
2021-07-16,"2021-07-16 07:30:03",0.374184985292222
2021-07-16,"2021-07-16 07:40:03",0.374184985292222
2021-07-16,"2021-07-16 07:50:02",0.374184985292222
2021-07-16,"2021-07-16 08:00:04",0.374184985292222
